rank_test_score,mean_test_score,param_n_neighbors,std_test_score,mean_fit_time
1,0.9258321857048919,13,0.0057795355473673395,0.005095529556274414
1,0.9258321857048919,15,0.0057795355473673395,0.0049060344696044925
1,0.9258321857048919,30,0.0057795355473673395,0.003956890106201172
1,0.9258321857048919,29,0.0057795355473673395,0.0037985324859619142
1,0.9258321857048919,28,0.0057795355473673395,0.00450282096862793
1,0.9258321857048919,27,0.0057795355473673395,0.004198837280273438
1,0.9258321857048919,26,0.0057795355473673395,0.004198598861694336
1,0.9258321857048919,25,0.0057795355473673395,0.004300832748413086
1,0.9258321857048919,24,0.0057795355473673395,0.0039974689483642575
1,0.9258321857048919,23,0.0057795355473673395,0.004303693771362305
1,0.9258321857048919,22,0.0057795355473673395,0.004438161849975586
1,0.9258321857048919,21,0.0057795355473673395,0.0047027587890625
1,0.9258321857048919,20,0.0057795355473673395,0.004412078857421875
1,0.9258321857048919,19,0.0057795355473673395,0.004101610183715821
1,0.9258321857048919,18,0.0057795355473673395,0.0038963794708251954
1,0.9258321857048919,17,0.0057795355473673395,0.004230213165283203
17,0.925333432587685,12,0.0061261032455461875,0.004303646087646484
17,0.925333432587685,11,0.0061261032455461875,0.004632043838500977
17,0.925333432587685,14,0.0061261032455461875,0.0047032833099365234
17,0.925333432587685,16,0.0061261032455461875,0.004709720611572266
21,0.92483716082927,9,0.005772910160209975,0.005115413665771484
22,0.9238408952742521,10,0.005826265317979719,0.004309844970703125
23,0.9228471110780262,7,0.00721005051480379,0.004744672775268554
24,0.9198583144129724,8,0.008107391316584571,0.004605340957641602
25,0.9198570737335766,5,0.008850610111985421,0.004638099670410156
26,0.915379461793278,6,0.0073944356694703155,0.004153060913085938
27,0.9133832086450541,3,0.00736632367458259,0.007063770294189453
28,0.9079105718291336,4,0.009608977421177738,0.004006242752075196
29,0.8591307800151362,1,0.0064794718724925935,0.006797266006469726
30,0.851161896254389,2,0.011172592478064786,0.005347728729248047
