rank_test_score,mean_test_score,std_test_score,param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf
1,0.9263296981427029,0.00603419624849203,100,20,10,2
1,0.9263296981427029,0.00603419624849203,100,40,10,2
3,0.9258321857048919,0.0057795355473673395,200,,10,2
3,0.9258321857048919,0.0057795355473673395,200,,10,4
3,0.9258321857048919,0.0057795355473673395,300,,10,1
3,0.9258321857048919,0.0057795355473673395,300,10,5,4
3,0.9258321857048919,0.0057795355473673395,300,40,5,4
3,0.9258321857048919,0.0057795355473673395,200,50,10,4
3,0.9258321857048919,0.0057795355473673395,500,20,5,4
3,0.9258321857048919,0.0057795355473673395,200,10,10,1
3,0.9258321857048919,0.0057795355473673395,100,50,10,4
3,0.9258321857048919,0.0057795355473673395,300,40,10,4
3,0.9258321857048919,0.0057795355473673395,300,20,5,4
3,0.9258321857048919,0.0057795355473673395,300,50,10,1
3,0.9258321857048919,0.0057795355473673395,500,40,5,4
3,0.9258321857048919,0.0057795355473673395,200,,2,4
3,0.9258321857048919,0.005334103357430474,500,,5,2
3,0.9258321857048919,0.0057795355473673395,200,20,10,1
3,0.9258321857048919,0.005334103357430474,500,20,5,2
3,0.9258321857048919,0.0057795355473673395,100,30,10,4
3,0.9258321857048919,0.0057795355473673395,200,10,2,4
3,0.9258321857048919,0.0057795355473673395,100,20,2,4
3,0.9258321857048919,0.0057795355473673395,200,40,5,4
3,0.9258321857048919,0.0057795355473673395,500,,5,4
3,0.9258321857048919,0.0057795355473673395,500,40,2,4
3,0.9258321857048919,0.0057795355473673395,200,40,10,1
3,0.9258321857048919,0.0057795355473673395,200,30,10,2
3,0.9258321857048919,0.0057795355473673395,500,30,10,2
3,0.9258321857048919,0.0057795355473673395,300,30,2,4
3,0.9258321857048919,0.0057795355473673395,300,40,10,1
3,0.9258321857048919,0.0057795355473673395,300,10,5,2
3,0.9258321857048919,0.0057795355473673395,100,50,5,4
3,0.9258321857048919,0.005334103357430474,200,10,5,1
3,0.9258321857048919,0.0057795355473673395,100,20,10,4
3,0.9258321857048919,0.0057795355473673395,100,40,5,4
3,0.9258321857048919,0.0057795355473673395,200,30,2,4
3,0.9258321857048919,0.0057795355473673395,200,20,10,4
3,0.9258321857048919,0.0057795355473673395,100,10,2,4
3,0.9258321857048919,0.005334103357430474,500,50,5,2
3,0.9258321857048919,0.0057795355473673395,100,30,2,4
3,0.9258321857048919,0.0057795355473673395,200,50,10,1
3,0.9258321857048919,0.0057795355473673395,300,50,2,4
3,0.9258321857048919,0.0057795355473673395,200,10,5,4
3,0.9258321857048919,0.0057795355473673395,100,10,2,2
3,0.9258321857048919,0.0057795355473673395,200,20,5,4
3,0.9258321857048919,0.0057795355473673395,300,30,10,1
3,0.9258321857048919,0.0057795355473673395,100,50,10,1
3,0.9258321857048919,0.0057795355473673395,500,50,5,4
3,0.9258321857048919,0.0057795355473673395,100,40,2,4
3,0.9258321857048919,0.0057795355473673395,500,40,10,4
3,0.9258321857048919,0.0057795355473673395,300,10,2,4
3,0.9258321857048919,0.005334103357430474,500,40,5,2
3,0.9258321857048919,0.0057795355473673395,300,20,10,1
3,0.9258321857048919,0.0057795355473673395,200,,5,4
3,0.9258321857048919,0.0057795355473673395,200,30,5,4
3,0.9258321857048919,0.0057795355473673395,300,,2,4
3,0.9258321857048919,0.0057795355473673395,500,10,10,4
3,0.9258321857048919,0.0057795355473673395,100,10,5,4
3,0.9258321857048919,0.0057795355473673395,500,10,5,4
3,0.9258321857048919,0.0057795355473673395,100,30,5,4
61,0.925334673267081,0.004994910224835407,500,50,2,2
61,0.925334673267081,0.006109423822505233,200,50,5,2
61,0.925334673267081,0.006109423822505233,300,30,2,2
61,0.925334673267081,0.004994910224835407,500,10,2,2
61,0.925334673267081,0.004994910224835407,100,10,5,2
61,0.925334673267081,0.004994910224835407,500,20,2,2
61,0.925334673267081,0.006109423822505233,200,40,5,2
61,0.925334673267081,0.006109423822505233,200,30,2,2
61,0.925334673267081,0.006109423822505233,300,40,2,2
61,0.925334673267081,0.004994910224835407,500,10,5,2
71,0.92483716082927,0.005772910160209975,100,,2,2
71,0.92483716082927,0.005772910160209975,300,30,5,2
71,0.92483716082927,0.005772910160209975,100,40,5,2
71,0.92483716082927,0.005772910160209975,100,40,2,2
71,0.92483716082927,0.005772910160209975,100,30,2,2
76,0.9243396483914591,0.006609387587950863,300,10,2,1
77,0.9233446235158373,0.008086352943736223,200,30,5,1
77,0.9233446235158373,0.008086352943736223,200,20,5,1
77,0.9233446235158373,0.008086352943736223,200,40,5,1
80,0.9228471110780262,0.0068581670955504236,500,30,5,1
80,0.9228471110780262,0.0068581670955504236,500,40,5,1
82,0.9223495986402155,0.007769310908292475,100,40,5,1
82,0.9223495986402155,0.007443911570819526,300,,5,1
82,0.9223495986402155,0.007769310908292475,100,30,5,1
82,0.9223495986402155,0.007443911570819526,300,30,5,1
82,0.9223495986402155,0.007443911570819526,300,20,5,1
82,0.9223495986402155,0.007769310908292475,100,,5,1
88,0.90592052207789,0.004343893731775242,100,40,2,1
88,0.90592052207789,0.004343893731775242,100,,2,1
88,0.90592052207789,0.004880551738122248,300,20,2,1
88,0.90592052207789,0.004343893731775242,100,50,2,1
92,0.905919281398494,0.005153845529005021,100,20,2,1
93,0.904924256522872,0.005379226750374932,300,,2,1
93,0.904924256522872,0.005379226750374932,300,50,2,1
95,0.9044279847644571,0.006045048633837715,500,40,2,1
95,0.9044279847644571,0.006045048633837715,500,30,2,1
95,0.9044279847644571,0.006045048633837715,500,50,2,1
95,0.9044279847644571,0.006045048633837715,500,,2,1
99,0.9034292378506471,0.0071847020751813805,200,30,2,1
99,0.9034292378506471,0.0071847020751813805,200,40,2,1
